Family	ACLAME.Function.s.
family:all:14937	unknown
family:all:14936	putative outer membrane protein
family:all:14935	putative transmembrane protein
family:all:14934	unknown
family:all:14933	putative transmembrane protein
family:all:14932	unknown
family:all:14931	unknown
family:all:14930	unknown
family:all:1493	go:0004386 - helicase activity
family:all:1493	phi:0000026 - phage DNA replication; go:0004386 - helicase activity
family:all:14929	unknown
family:all:14928	unknown
family:all:14927	unknown
family:all:14926	unknown
family:all:14925	unknown
family:all:14924	unknown
family:all:14923	unknown
family:all:14922	unknown
family:all:14921	unknown
family:all:14920	unknown
family:all:1492	zinc metalloproteinase Mpr protein
family:all:14919	unknown
family:all:14918	unknown
family:all:14917	unknown
family:all:14916	unknown
family:all:14915	unknown
family:all:14914	putative bacteriocin transporter
family:all:14913	putative SpaS protein
family:all:14912	putative SpaB protein
family:all:14911	unknown
family:all:14910	unknown
family:all:1491	go:0016491 - oxidoreductase activity
family:all:14909	unknown
family:all:14908	unknown
family:all:14907	unknown
family:all:14906	unknown
family:all:14905	unknown
family:all:14904	unknown
family:all:14903	unknown
family:all:14902	unknown
family:all:14901	unknown
family:all:14900	unknown
family:all:1490	go:0016491 - oxidoreductase activity
family:all:149	phi:0000044 - transcriptional-regulation of phage gene expression
family:all:149	go:0016564 - transcription repressor activity; phi:0000048 - negative transcriptional regulation of phage gene expression
family:all:149	phi:0000184 - transcription factor activity
family:all:14899	unknown
family:all:14898	unknown
family:all:14897	unknown
family:all:14896	unknown
family:all:14895	unknown
family:all:14894	ribbon-helix-helix protein
family:all:14893	ribbon-helix-helix protein
family:all:14892	unknown
family:all:14891	unknown
family:all:14890	unknown
family:all:1489	transposase, IS4
family:all:14889	unknown
family:all:14888	unknown
family:all:14887	unknown
family:all:14886	relaxase/mobilization nuclease domain
family:all:14885	unknown
family:all:14884	unknown
family:all:14883	unknown
family:all:14882	unknown
family:all:14881	unknown
family:all:14880	unknown
family:all:1488	HNH endonuclease
family:all:14879	unknown
family:all:14878	unknown
family:all:14877	unknown
family:all:14876	unknown
family:all:14875	unknown
family:all:14874	unknown
family:all:14873	ribosomal protein S12
family:all:14872	ribosomal protein L10
family:all:14871	ribosomal protein L11
family:all:14870	DNA-directed RNA polymerase, beta' subunit
family:all:1487	dTDP-4-dehydrorhamnose reductase
family:all:14869	DNA-directed RNA polymerase, beta subunit
family:all:14868	ribosomal protein L1
family:all:14867	ribosomal protein L7/L12
family:all:14866	preprotein translocase, SecE subunit
family:all:14865	ribosomal protein S7
family:all:14864	unknown
family:all:14863	unknown
family:all:14862	unknown
family:all:14861	unknown
family:all:14860	unknown
family:all:1486	go:0005215 - transporter activity
family:all:14859	unknown
family:all:14858	unknown
family:all:14857	unknown
family:all:14856	unknown
family:all:14855	unknown
family:all:14854	unknown
family:all:14853	unknown
family:all:14852	unknown
family:all:14851	unknown
family:all:14850	protein of unknown function DUF583
family:all:1485	co-chaperonin GroES
family:all:14849	unknown
family:all:14848	unknown
family:all:14847	unknown
family:all:14846	unknown
family:all:14845	unknown
family:all:14844	unknown
family:all:14843	unknown
family:all:14842	unknown
family:all:14841	unknown
family:all:14840	unknown
family:all:1484	unknown
family:all:14839	unknown
family:all:14838	unknown
family:all:14837	unknown
family:all:14836	unknown
family:all:14835	unknown
family:all:14834	unknown
family:all:14833	unknown
family:all:14832	unknown
family:all:14831	unknown
family:all:14830	unknown
family:all:1483	putative membrane protein, TadG /TadE related
family:all:14829	unknown
family:all:14828	unknown
family:all:14827	putative transcriptional regulator
family:all:14826	unknown
family:all:14825	unknown
family:all:14824	unknown
family:all:14823	unknown
family:all:14822	unknown
family:all:14821	unknown
family:all:14820	unknown
family:all:1482	putative transmembrane pilus component protein
family:all:14819	unknown
family:all:14818	3-hydroxyanthranilic acid dioxygenase
family:all:14817	nitroreductase
family:all:14816	unknown
family:all:14815	unknown
family:all:14814	unknown
family:all:14813	unknown
family:all:14812	unknown
family:all:14811	unknown
family:all:14810	protein of unknown function DUF485
family:all:1481	chemotaxis protein CheV
family:all:14809	unknown
family:all:14808	unknown
family:all:14807	unknown
family:all:14806	unknown
family:all:14805	unknown
family:all:14804	unknown
family:all:14803	unknown
family:all:14802	unknown
family:all:14801	unknown
family:all:14800	unknown
family:all:1480	bacterio-opsin activator-like protein
family:all:148	phi:0000100 - anti repressor activity
family:all:148	phi:0000100 - anti repressor activity; go:0004170 - dUTP diphosphatase activity
family:all:14799	unknown
family:all:14798	unknown
family:all:14797	unknown
family:all:14796	unknown
family:all:14795	unknown
family:all:14794	unknown
family:all:14793	unknown
family:all:14792	unknown
family:all:14791	unknown
family:all:14790	unknown
family:all:1479	putative transcriptional regulator
family:all:14789	unknown
family:all:14788	unknown
family:all:14787	unknown
family:all:14786	unknown
family:all:14785	unknown
family:all:14784	unknown
family:all:14783	unknown
family:all:14782	unknown
family:all:14781	unknown
family:all:14780	unknown
family:all:1478	anti-ECFsigma factor, ChrR
family:all:14779	unknown
family:all:14778	TPR repeat
family:all:14777	unknown
family:all:14776	unknown
family:all:14775	unknown
family:all:14774	unknown
family:all:14773	unknown
family:all:14772	unknown
family:all:14771	unknown
family:all:14770	unknown
family:all:1477	go:0016787 - hydrolase activity
family:all:14769	unknown
family:all:14768	unknown
family:all:14767	unknown
family:all:14766	poly (3-hydroxybutyrate) depolymerase
family:all:14765	unknown
family:all:14764	unknown
family:all:14763	unknown
family:all:14762	unknown
family:all:14761	membrane protein, related to Actinobacillus protein (1944168)
family:all:1476	aclame:function:513 - IS481 family
family:all:14753	unknown
family:all:14752	unknown
family:all:14751	unknown
family:all:14750	unknown
family:all:1475	alanine racemase domain protein
family:all:14749	unknown
family:all:14748	unknown
family:all:14747	unknown
family:all:14746	Cvi
family:all:14745	unknown
family:all:14744	unknown
family:all:14743	unknown
family:all:14742	unknown
family:all:14741	unknown
family:all:14740	unknown
family:all:1474	go:0016740 - transferase activity
family:all:14739	unknown
family:all:14738	unknown
family:all:14737	unknown
family:all:14736	ShiG
family:all:14735	unknown
family:all:14734	unknown
family:all:14733	unknown
family:all:14732	unknown
family:all:14731	unknown
family:all:14730	unknown
family:all:1473	unknown
family:all:14729	unknown
family:all:14728	unknown
family:all:14727	unknown
family:all:14726	fimbrial-like protein
family:all:14725	unknown
family:all:14724	unknown
family:all:14723	IS1-associated conserved hypothetical protein
family:all:14722	unknown
family:all:14721	unknown
family:all:14720	unknown
family:all:1472	transcriptional regulator, AraC family
family:all:14719	unknown
family:all:14718	unknown
family:all:14717	unknown
family:all:14716	unknown
family:all:14715	unknown
family:all:14714	unknown
family:all:14713	unknown
family:all:14712	unknown
family:all:14711	possible membrane protein
family:all:14710	unknown
family:all:1471	go:0004146 - dihydrofolate reductase activity
family:all:14709	unknown
family:all:14708	unknown
family:all:14707	unknown
family:all:14706	unknown
family:all:14705	unknown
family:all:14704	unknown
family:all:14703	unknown
family:all:14702	unknown
family:all:14701	unknown
family:all:14700	unknown
family:all:1470	unknown
family:all:147	go:0016887 - ATPase activity
family:all:147	phi:0000073 - phage terminase large subunit; phi:0000019 - phage DNA maturation
family:all:147	phi:0000019 - phage DNA maturation; phi:0000073 - phage terminase large subunit; go:0016887 - ATPase activity
family:all:14699	unknown
family:all:14698	unknown
family:all:14697	unknown
family:all:14696	unknown
family:all:14695	unknown
family:all:14694	unknown
family:all:14693	unknown
family:all:14692	unknown
family:all:14691	unknown
family:all:14690	unknown
family:all:1469	phi:0000333 - plasmid function unknown
family:all:14689	unknown
family:all:14688	unknown
family:all:14687	unknown
family:all:14686	unknown
family:all:14685	unknown
family:all:14684	unknown
family:all:14683	possible transcriptional regulator
family:all:14682	unknown
family:all:14681	unknown
family:all:14680	galactose-1-phosphate uridylyltransferase
family:all:1468	phi:0000333 - plasmid function unknown
family:all:14679	hyaluronate lyase
family:all:14678	unknown
family:all:14677	beta-galactosidase
family:all:14676	unknown
family:all:14675	unknown
family:all:14674	unknown
family:all:14673	unknown
family:all:14672	go:0016787 - hydrolase activity; go:0046677 - response to antibiotic
family:all:14671	unknown
family:all:14670	exosporium protein
family:all:1467	phi:0000333 - plasmid function unknown
family:all:14669	unknown
family:all:14668	unknown
family:all:14667	stage V sporulation protein AE, C-terminal region
family:all:14666	unknown
family:all:14665	unknown
family:all:14664	unknown
family:all:14663	glucose uptake protein
family:all:14662	unknown
family:all:14661	unknown
family:all:14660	unknown
family:all:1466	phi:0000333 - plasmid function unknown
family:all:14659	unknown
family:all:14658	unknown
family:all:14657	unknown
family:all:14656	unknown
family:all:14655	unknown
family:all:14654	unknown
family:all:14653	unknown
family:all:14652	unknown
family:all:14651	unknown
family:all:14650	unknown
family:all:1465	phi:0000333 - plasmid function unknown
family:all:14649	unknown
family:all:14648	unknown
family:all:14647	unknown
family:all:14646	unknown
family:all:14645	unknown
family:all:14644	unknown
family:all:14643	unknown
family:all:14642	unknown
family:all:14641	unknown
family:all:14640	membrane anchor protein associated with esterification of lipoteichoic acid (LTA)
family:all:1464	phi:0000333 - plasmid function unknown
family:all:14639	unknown
family:all:14638	unknown
family:all:14637	unknown
family:all:14636	unknown
family:all:14635	unknown
family:all:14634	unknown
family:all:14633	unknown
family:all:14632	unknown
family:all:14631	unknown
family:all:14630	unknown
family:all:1463	unknown
family:all:14629	unknown
family:all:14628	unknown
family:all:14627	unknown
family:all:14626	unknown
family:all:14625	unknown
family:all:14624	unknown
family:all:14623	transcriptional regulator, ArsR family
family:all:14622	unknown
family:all:14621	unknown
family:all:14620	unknown
family:all:1462	ATP-dependent protease La
family:all:14619	unknown
family:all:14618	unknown
family:all:14617	possible cell surface protein
family:all:14616	unknown
family:all:14615	unknown
family:all:14614	unknown
family:all:14613	alpha-ketoglutarate permease
family:all:14612	unknown
family:all:14611	unknown
family:all:14610	unknown
family:all:1461	signal transduction histidine kinase
family:all:14609	unknown
family:all:14608	D-alanine--poly(phosphoribitol) ligase subunit 2
family:all:14607	unknown
family:all:14606	unknown
family:all:14605	unknown
family:all:14604	unknown
family:all:14603	unknown
family:all:14602	unknown
family:all:14601	unknown
family:all:14600	possible uncharacterized protein FAD-dependent dehydrogenase
family:all:1460	phi:0000136 - transpositional DNA recombination; aclame:function:542 - IS607 family
family:all:146	go:0043845 - DNA polymerase III, proofreading complex; phi:0000026 - phage DNA replication
family:all:146	go:0004527 - exonuclease activity
family:all:14599	unknown
family:all:14598	unknown
family:all:14597	unknown
family:all:14596	unknown
family:all:14595	unknown
family:all:14594	unknown
family:all:14593	unknown
family:all:14592	unknown
family:all:14591	unknown
family:all:14590	unknown
family:all:1459	protein of unknown function DUF1524 RloF
family:all:14589	unknown
family:all:14588	unknown
family:all:14587	unknown
family:all:14586	unknown
family:all:14585	unknown
family:all:14584	unknown
family:all:14583	unknown
family:all:14582	unknown
family:all:14581	unknown
family:all:14580	possible methyl-accepting chemotaxis protein, C-terminal region
family:all:1458	hypothetical protein YPMT1.47c
family:all:14579	unknown
family:all:14578	unknown
family:all:14577	unknown
family:all:14576	enhancin family protein
family:all:14575	unknown
family:all:14574	unknown
family:all:14573	unknown
family:all:14572	unknown
family:all:14571	unknown
family:all:14570	unknown
family:all:1457	phi:0000143 - tyrosine-based recombinase activity; phi:0000131 - site-specific DNA recombination
family:all:14569	unknown
family:all:14568	unknown
family:all:14567	unknown
family:all:14566	unknown
family:all:14565	unknown
family:all:14564	chitosanase
family:all:14563	unknown
family:all:14562	unknown
family:all:14561	unknown
family:all:14560	unknown
family:all:1456	phi:0000333 - plasmid function unknown
family:all:14559	unknown
family:all:14558	unknown
family:all:14557	unknown
family:all:14556	unknown
family:all:14555	unknown
family:all:14554	unknown
family:all:14553	unknown
family:all:14552	unknown
family:all:14551	unknown
family:all:14550	unknown
family:all:1455	conserved hypothetical protein; K08995 putative membrane protein
family:all:14549	unknown
family:all:14548	unknown
family:all:14547	unknown
family:all:14546	ATP synthase F0, C subunit
family:all:14545	unknown
family:all:14544	putative transcriptional regulator, AsnC family
family:all:14543	unknown
family:all:14542	unknown
family:all:14541	unknown
family:all:14540	unknown
family:all:1454	phi:0000333 - plasmid function unknown
family:all:14539	unknown
family:all:14538	unknown
family:all:14537	unknown
family:all:14536	unknown
family:all:14535	unknown
family:all:14534	unknown
family:all:14533	unknown
family:all:14532	unknown
family:all:14531	unknown
family:all:14530	unknown
family:all:1453	cytochrome c assembly protein
family:all:14529	unknown
family:all:14528	unknown
family:all:14527	unknown
family:all:14526	unknown
family:all:14525	unknown
family:all:14524	transcriptional regulator, Fur family
family:all:14523	unknown
family:all:14522	conserved hypothetical protein TIGR00052
family:all:14521	unknown
family:all:14520	unknown
family:all:1452	hypothetical protein, putative replication protein
family:all:14519	unknown
family:all:14518	unknown
family:all:14517	stage II sporulation protein p
family:all:14516	unknown
family:all:14515	unknown
family:all:14514	unknown
family:all:14513	unknown
family:all:14512	unknown
family:all:14511	unknown
family:all:14510	unknown
family:all:1451	Y4bN
family:all:14509	unknown
family:all:14508	unknown
family:all:14507	unknown
family:all:14506	unknown
family:all:14505	unknown
family:all:14504	ThiS family protein
family:all:14503	unknown
family:all:14502	unknown
family:all:14501	unknown
family:all:14500	unknown
family:all:1450	unknown
family:all:145	phi:0000088 - phage base plate protein
family:all:14499	radical SAM domain protein
family:all:14498	unknown
family:all:14497	HesB-like domain protein
family:all:14496	unknown
family:all:14495	unknown
family:all:14494	unknown
family:all:14493	unknown
family:all:14492	unknown
family:all:14491	unknown
family:all:14490	unknown
family:all:1449	phage integrase family protein
family:all:14489	unknown
family:all:14488	unknown
family:all:14487	unknown
family:all:14486	unknown
family:all:14485	unknown
family:all:14484	unknown
family:all:14483	unknown
family:all:14482	unknown
family:all:14481	unknown
family:all:14480	unknown
family:all:1448	ErfK/YbiS/YcfS/YnhG family protein
family:all:14479	unknown
family:all:14478	phi:0000333 - plasmid function unknown
family:all:14477	unknown
family:all:14476	unknown
family:all:14475	unknown
family:all:14474	unknown
family:all:14473	unknown
family:all:14472	unknown
family:all:14471	unknown
family:all:14470	unknown
family:all:1447	phi:0000326 - phage function unknown
family:all:14469	unknown
family:all:14468	ParB-like nuclease domain protein
family:all:14467	unknown
family:all:14466	unknown
family:all:14465	unknown
family:all:14464	unknown
family:all:14463	unknown
family:all:14462	unknown
family:all:14461	unknown
family:all:14460	unknown
family:all:1446	phi:0000333 - plasmid function unknown
family:all:14459	unknown
family:all:14458	unknown
family:all:14457	putative glycosyltransferase
family:all:14456	O antigen chain length determinant protein
family:all:14455	unknown
family:all:14454	unknown
family:all:14453	unknown
family:all:14452	unknown
family:all:14451	unknown
family:all:14450	unknown
family:all:1445	go:0009405 - pathogenesis; go:0052049 - interaction with host via protein secreted by type III secretion system; phi:0000338 - chaperon activity
family:all:14449	glycosyl transferase, group 2 family domain protein
family:all:14448	unknown
family:all:14447	unknown
family:all:14446	unknown
family:all:14445	TPR domain protein, putative
family:all:14444	unknown
family:all:14443	unknown
family:all:14442	unknown
family:all:14441	unknown
family:all:14440	unknown
family:all:1444	go:0009405 - pathogenesis; go:0052049 - interaction with host via protein secreted by type III secretion system; go:0032862 - activation of Rho GTPase activity
family:all:14439	lipoprotein, putative
family:all:14438	unknown
family:all:14437	unknown
family:all:14436	unknown
family:all:14435	unknown
family:all:14434	unknown
family:all:14433	unknown
family:all:14432	unknown
family:all:14431	unknown
family:all:14430	BseRI endonuclease, putative
family:all:1443	go:0052049 - interaction with host via protein secreted by type III secretion system; go:0009405 - pathogenesis; phi:0000262 - toxin
family:all:14429	unknown
family:all:14428	unknown
family:all:14427	unknown
family:all:14426	unknown
family:all:14425	unknown
family:all:14424	unknown
family:all:14423	unknown
family:all:14422	unknown
family:all:14421	unknown
family:all:14420	unknown
family:all:1442	phi:0000267 - type III protein secretion system complex; phi:0000338 - chaperon activity; go:0009405 - pathogenesis
family:all:14419	Unique hypothetical protein
family:all:14418	unknown
family:all:14417	Unique hypothetical protein
family:all:14416	unknown
family:all:14415	Subtilase cytotoxin, subunit B
family:all:14414	Unique hypothetical protein
family:all:14413	Unique hypothetical protein
family:all:14412	Unique hypothetical protein
family:all:14411	Unique hypothetical protein
family:all:14410	Unique hypothetical protein
family:all:1441	protein of unknown function DUF1643
family:all:14409	unknown
family:all:14408	unknown
family:all:14407	unknown
family:all:14406	unknown
family:all:14405	unknown
family:all:14404	unknown
family:all:14403	unknown
family:all:14402	unknown
family:all:14401	unknown
family:all:14400	unknown
family:all:1440	unknown
family:all:144	phi:0000019 - phage DNA maturation; phi:0000073 - phage terminase large subunit
family:all:144	phi:0000019 - phage DNA maturation; phi:0000074 - phage terminase small subunit
family:all:14399	unknown
family:all:14398	chromosome assembly protein
family:all:14397	unknown
family:all:14396	unknown
family:all:14395	unknown
family:all:14394	unknown
family:all:14393	possible excinuclease ABC subunit
family:all:14392	unknown
family:all:14391	unknown
family:all:14390	phosphoenolpyruvate synthase
family:all:1439	go:0006274 - DNA replication termination
family:all:14389	putative transposase
family:all:14388	unknown
family:all:14387	Predicted transcriptional regulator
family:all:14386	unknown
family:all:14385	unknown
family:all:14384	unknown
family:all:14383	unknown
family:all:14382	unknown
family:all:14381	salicylate esterase
family:all:14380	unknown
family:all:1438	ORF040
family:all:14379	unknown
family:all:14378	unknown
family:all:14377	unknown
family:all:14376	unknown
family:all:14375	unknown
family:all:14374	Peptidoglycan-binding domain 1
family:all:14373	unknown
family:all:14372	Helicase-like
family:all:14371	unknown
family:all:14370	unknown
family:all:1437	go:0047830 - D-octopine dehydrogenase activity
family:all:14369	unknown
family:all:14368	Transcriptional Regulator, XRE family
family:all:14367	unknown
family:all:14366	unknown
family:all:14365	unknown
family:all:14364	unknown
family:all:14363	unknown
family:all:14362	metallothionein, family 14
family:all:14361	unknown
family:all:14360	unknown
family:all:1436	phi:0000271 - intercellular transfer by conjugation
family:all:14359	unknown
family:all:14358	unknown
family:all:14357	unknown
family:all:14356	unknown
family:all:14355	Phytanoyl-CoA dioxygenase
family:all:14354	unknown
family:all:14353	unknown
family:all:14352	unknown
family:all:14351	unknown
family:all:14350	protein of unknown function DUF114
family:all:1435	phi:0000333 - plasmid function unknown
family:all:14349	unknown
family:all:14348	putative RNA polymerase, sigma 28 subunit, FliA/WhiG family
family:all:14347	unknown
family:all:14346	unknown
family:all:14345	unknown
family:all:14344	unknown
family:all:14343	membrane protein involved in aromatic hydrocarbon degradation
family:all:14342	unknown
family:all:14341	GCN5-related N-acetyltransferase
family:all:14340	unknown
family:all:1434	RES
family:all:14339	unknown
family:all:14338	DNA-directed RNA polymerase, omega subunit
family:all:14337	HmcA
family:all:14336	HmcD
family:all:14335	HmcI
family:all:14334	HmcB
family:all:14333	HmcC
family:all:14332	unknown
family:all:14331	unknown
family:all:14330	unknown
family:all:1433	phi:0000271 - intercellular transfer by conjugation; phi:0000281 - type IV secretion system pilus associated lipoprotein
family:all:14329	unknown
family:all:14328	unknown
family:all:14327	unknown
family:all:14326	unknown
family:all:14325	unknown
family:all:14324	unknown
family:all:14323	unknown
family:all:14322	unknown
family:all:14321	unknown
family:all:14320	unknown
family:all:1432	phi:0000156 - relaxosome
family:all:14319	unknown
family:all:14318	unknown
family:all:14317	putative type IV secretion system protein IcmG/DotF
family:all:14316	unknown
family:all:14315	unknown
family:all:14314	unknown
family:all:14313	unknown
family:all:14312	unknown
family:all:14311	unknown
family:all:14310	putative lipoprotein
family:all:1431	gp47
family:all:14309	unknown
family:all:14308	unknown
family:all:14307	unknown
family:all:14306	unknown
family:all:14305	unknown
family:all:14304	unknown
family:all:14303	unknown
family:all:14302	unknown
family:all:14301	unknown
family:all:14300	unknown
family:all:1430	phi:0000073 - phage terminase large subunit; phi:0000019 - phage DNA maturation
family:all:143	phi:0000335 - phage mediated modulation of host functions; phi:0000193 - restriction alleviation
family:all:143	phi:0000326 - phage function unknown
family:all:143	go:0009008 - DNA-methyltransferase activity
family:all:14299	unknown
family:all:14298	unknown
family:all:14297	unknown
family:all:14296	unknown
family:all:14295	unknown
family:all:14294	type IV pilus biogenesis protein PilP
family:all:14293	unknown
family:all:14292	unknown
family:all:14291	unknown
family:all:14290	unknown
family:all:1429	MobE homing endonuclease
family:all:14289	unknown
family:all:14288	unknown
family:all:14287	unknown
family:all:14286	unknown
family:all:14285	unknown
family:all:14284	unknown
family:all:14283	unknown
family:all:14282	unknown
family:all:14281	unknown
family:all:14280	unknown
family:all:1428	gp57B conserved hypothetical protein
family:all:14279	unknown
family:all:14278	unknown
family:all:14277	unknown
family:all:14276	unknown
family:all:14275	unknown
family:all:14274	putative oxidoreductase
family:all:14273	unknown
family:all:14272	putative type IV secretion system protein IcmC/DotIE
family:all:14271	unknown
family:all:14270	unknown
family:all:1427	phi:0000326 - phage function unknown
family:all:14269	putative lipoprotein
family:all:14268	unknown
family:all:14267	unknown
family:all:14266	unknown
family:all:14265	unknown
family:all:14264	5-formyltetrahydrofolate cyclo-ligase
family:all:14263	unknown
family:all:14262	unknown
family:all:14261	unknown
family:all:14260	unknown
family:all:1426	phi:0000326 - phage function unknown
family:all:14259	unknown
family:all:14258	unknown
family:all:14257	unknown
family:all:14256	unknown
family:all:14255	unknown
family:all:14254	unknown
family:all:14253	unknown
family:all:14252	unknown
family:all:14251	unknown
family:all:14250	putative transmembrane protein
family:all:1425	phi:0000326 - phage function unknown
family:all:14249	putative transmembrane protein
family:all:14248	putative uncharacterised enzyme involved in pigment biosynthesis
family:all:14247	unknown
family:all:14246	unknown
family:all:14245	unknown
family:all:14244	unknown
family:all:14243	unknown
family:all:14242	unknown
family:all:14241	putative peptidase
family:all:14240	unknown
family:all:1424	phi:0000326 - phage function unknown
family:all:1424	phi:0000011 - phage tail fiber assembly
family:all:14239	unknown
family:all:14238	putative transmembrane protein
family:all:14237	unknown
family:all:14236	unknown
family:all:14235	unknown
family:all:14234	putative transmembrane protein
family:all:14233	putative transmembrane protein
family:all:14232	putative transmembrane protein
family:all:14231	putative outer membrane protein
family:all:14230	unknown
family:all:1423	phi:0000326 - phage function unknown
family:all:14229	unknown
family:all:14228	putative substrate binding component of ABC transporter
family:all:14227	unknown
family:all:14226	unknown
family:all:14225	unknown
family:all:14224	unknown
family:all:14223	unknown
family:all:14222	unknown
family:all:14221	unknown
family:all:14220	unknown
family:all:1422	phi:0000326 - phage function unknown
family:all:14219	unknown
family:all:14218	putative transmembrane protein
family:all:14217	putative erythrulose 4-phosphate dehydrogenase
family:all:14216	unknown
family:all:14215	unknown
family:all:14214	unknown
family:all:14213	unknown
family:all:14212	unknown
family:all:14211	unknown
family:all:14210	unknown
family:all:1421	phi:0000174 - capsid tail
family:all:14209	unknown
family:all:14208	putative transmembrane protein
family:all:14207	putative plasmid stabilization element
family:all:14206	unknown
family:all:14205	unknown
family:all:14204	unknown
family:all:14203	unknown
family:all:14202	putative transmembrane protein
family:all:14201	unknown
family:all:14200	unknown
family:all:1420	phi:0000038 - phage class III gene transcription; phi:0000040 - phage transcription anti termination
family:all:142	phi:0000143 - tyrosine-based recombinase activity; phi:0000131 - site-specific DNA recombination; phi:0000304 - plasmid dimer resolution
family:all:142	phi:0000143 - tyrosine-based recombinase activity; phi:0000131 - site-specific DNA recombination
family:all:14199	unknown
family:all:14198	unknown
family:all:14197	putative FHA domain protein involved in nitrogen fixation
family:all:14196	putative virulence-island/protein involved in nitrogen fixation
family:all:14195	unknown
family:all:14194	unknown
family:all:14193	unknown
family:all:14192	unknown
family:all:14191	unknown
family:all:14190	unknown
family:all:1419	phi:0000010 - phage head/capsid assembly; phi:0000069 - phage head/capsid decoration protein
family:all:1419	phi:0000069 - phage head/capsid decoration protein; phi:0000010 - phage head/capsid assembly
family:all:14189	unknown
family:all:14188	unknown
family:all:14187	unknown
family:all:14186	unknown
family:all:14185	unknown
family:all:14184	helix-turn-helix domain protein
family:all:14183	unknown
family:all:14182	unknown
family:all:14181	unknown
family:all:14180	unknown
family:all:1418	phi:0000326 - phage function unknown
family:all:14179	unknown
family:all:14178	unknown
family:all:14177	unknown
family:all:14176	unknown
family:all:14175	unknown
family:all:14174	unknown
family:all:14173	unknown
family:all:14172	unknown
family:all:14171	secreted copper-sensitivity suppressor C
family:all:14170	TraX protein
family:all:1417	go:0008821 - crossover junction endodeoxyribonuclease activity
family:all:14169	unknown
family:all:14168	unknown
family:all:14167	unknown
family:all:14166	unknown
family:all:14165	unknown
family:all:14164	unknown
family:all:14163	unknown
family:all:14162	unknown
family:all:14161	unknown
family:all:14160	unknown
family:all:1416	phi:0000326 - phage function unknown
family:all:14159	unknown
family:all:14158	unknown
family:all:14157	unknown
family:all:14156	unknown
family:all:14155	phi:0000333 - plasmid function unknown
family:all:14154	Orf2
family:all:14153	Orf1
family:all:14152	RepA
family:all:14151	unknown
family:all:14150	unknown
family:all:1415	phi:0000326 - phage function unknown
family:all:14149	unknown
family:all:14148	unknown
family:all:14147	unknown
family:all:14146	unknown
family:all:14145	transcriptional regulator
family:all:14144	unknown
family:all:14143	unknown
family:all:14142	unknown
family:all:14141	unknown
family:all:14140	unknown
family:all:1414	phi:0000326 - phage function unknown
family:all:14139	unknown
family:all:14138	unknown
family:all:14137	unknown
family:all:14136	unknown
family:all:14135	unknown
family:all:14134	DNA primase related protein
family:all:14133	unknown
family:all:14132	unknown
family:all:14131	unknown
family:all:14130	unknown
family:all:1413	phi:0000017 - phage prohead/capsid assembly; phi:0000065 - capsid scaffolding protein
family:all:14129	unknown
family:all:14128	unknown
family:all:14127	unknown
family:all:14126	unknown
family:all:14125	unknown
family:all:14124	unknown
family:all:14123	unknown
family:all:14122	unknown
family:all:14121	unknown
family:all:14120	unknown
family:all:1412	phi:0000064 - phage head/capsid protein
family:all:14119	unknown
family:all:14118	unknown
family:all:14117	unknown
family:all:14116	unknown
family:all:14115	unknown
family:all:14114	unknown
family:all:14113	unknown
family:all:14112	unknown
family:all:14111	unknown
family:all:14110	membrane permease
family:all:1411	phi:0000201 - superantigen activity
family:all:14109	unknown
family:all:14108	unknown
family:all:14107	unknown
family:all:14106	unknown
family:all:14105	unknown
family:all:14104	unknown
family:all:14103	unknown
family:all:14102	unknown
family:all:14101	unknown
family:all:14100	unknown
family:all:1410	phi:0000326 - phage function unknown
family:all:141	go:0008821 - crossover junction endodeoxyribonuclease activity
family:all:14099	unknown
family:all:14098	unknown
family:all:14097	unknown
family:all:14096	unknown
family:all:14095	unknown
family:all:14094	GCN5-related N-acetyltransferase
family:all:14093	unknown
family:all:14092	unknown
family:all:14091	unknown
family:all:14090	unknown
family:all:1409	phi:0000326 - phage function unknown
family:all:14089	unknown
family:all:14088	unknown
family:all:14087	unknown
family:all:14086	unknown
family:all:14085	unknown
family:all:14084	unknown
family:all:14083	unknown
family:all:14082	unknown
family:all:14081	unknown
family:all:14080	unknown
family:all:1408	phi:0000326 - phage function unknown
family:all:14079	unknown
family:all:14078	unknown
family:all:14077	unknown
family:all:14076	transcriptional regulator, XRE family
family:all:14075	unknown
family:all:14074	unknown
family:all:14073	unknown
family:all:14072	unknown
family:all:14071	unknown
family:all:14070	unknown
family:all:1407	phi:0000326 - phage function unknown
family:all:14069	unknown
family:all:14068	methylation
family:all:14067	unknown
family:all:14066	unknown
family:all:14065	unknown
family:all:14064	unknown
family:all:14063	unknown
family:all:14062	unknown
family:all:14061	unknown
family:all:14060	unknown
family:all:1406	phi:0000326 - phage function unknown
family:all:14059	unknown
family:all:14058	unknown
family:all:14057	unknown
family:all:14056	unknown
family:all:14055	unknown
family:all:14054	unknown
family:all:14053	unknown
family:all:14052	unknown
family:all:14051	unknown
family:all:14050	unknown
family:all:1405	hyaluronoglucosaminidase
family:all:14049	unknown
family:all:14048	unknown
family:all:14047	unknown
family:all:14046	unknown
family:all:14045	unknown
family:all:14044	unknown
family:all:14043	unknown
family:all:14042	Ankyrin
family:all:14041	ERCC4
family:all:14040	unknown
